row_id,video_id,creator,genre,lane,organisation,clipper,platform,month,title_raw,title_norm,sensational,critical,analytical,educational,conversational,humor,curiosity_gap,outrage,format_llm,retest,retest_sensational,retest_critical,retest_analytical,retest_educational,retest_conversational,retest_humor,retest_curiosity_gap,retest_outrage,retest_format_llm,model,prompt_id,prompt_sha256,temperature,rated_at,prompt
225834,EE-BlZw4ZpI,@Politicon,videos,interview_podcast,Politicon,False,youtube,2026-06,"Everything You Always Wanted To Know About TRUMP'S SLUSH FUND,  But Were Afraid To Ask.","Everything You Always Wanted To Know About TRUMP'S SLUSH FUND, But Were Afraid To Ask.",3,1,2,3,1,0,0,0,howto_explainer,True,5.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,none,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
225952,ABf2nIuq9so,@Politicon,videos,interview_podcast,Politicon,False,youtube,2026-04,"James Carville: Trump The Walls Are Closing In, Trust No One","Trump The Walls Are Closing In, Trust No One",3,3,2,1,1,0,0,1,none,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226046,rbZ6F-ZRcrE,@Politicon,videos,interview_podcast,Politicon,False,youtube,2026-02,James Carville: What Scale of Stupid Is Trump,What Scale of Stupid Is Trump,3,3,2,1,1,0,0,1,none,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226103,isCuXn0IiNw,@Politicon,streams,interview_podcast,Politicon,False,youtube,2026-06,Party Lines LIVE In Dallas: Kalshi Politics On Tour,Party Lines LIVE In Dallas: Kalshi Politics On Tour,1,1,3,2,1,0,0,0,breaking_live,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226115,PHm3SZDHunU,@ColeHastings,videos,centrist_heterodox,Cole Hastings,False,youtube,2026-06,Gen Z Men Are Facing A Friendship Crisis,Gen Z Men Are Facing A Friendship Crisis,1,1,3,2,1,0,0,0,none,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226116,B3lPguEvVZU,@ColeHastings,videos,centrist_heterodox,Cole Hastings,False,youtube,2026-06,The Male Reading Crisis,The Male Reading Crisis,1,1,3,2,1,0,0,0,none,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226151,JJjRDrp6k0s,@ModernDayDebate,videos,streamer_reaction,Modern-Day Debate,False,youtube,2026-05,@Planet Peterson  on Trial | Creationists Are Hypocrites,@Planet Peterson on Trial | Creationists Are Hypocrites,2,3,2,1,1,0,0,1,confrontation,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226176,HS3aH-1U3aM,@ModernDayDebate,videos,streamer_reaction,Modern-Day Debate,False,youtube,2026-02,NEW @Destiny  Vs 5 | Is Trump Weaponizing the Law Unlike Any Other President?,NEW @Destiny Vs 5 | Is Trump Weaponizing the Law Unlike Any Other President?,3,3,2,1,1,0,0,1,confrontation,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226221,PQ_vVjMUUIY,@ModernDayDebate,streams,streamer_reaction,Modern-Day Debate,False,youtube,2026-06,DEBATE | Is Justification Forensic? | Lucas Curcio Vs Alex Sorin,DEBATE | Is Justification Forensic? | Lucas Curcio Vs Alex Sorin,3,1,2,1,1,0,0,0,confrontation,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
226226,UvuMU_54dyE,@ModernDayDebate,streams,streamer_reaction,Modern-Day Debate,False,youtube,2026-06,DEBATE: Evidence of Noah's Flood? | PhDTony Vs Kent Hovind,DEBATE: Evidence of Noah's Flood? | PhDTony Vs Kent Hovind,3,1,2,1,1,0,0,0,confrontation,False,,,,,,,,,,qwen3:14b,title-style-v3,03c5da1a9e41c1663e4e97797c79c74cf330976a57815c41ff7ee24f64ca61ad,0.0,2026-09-14T22:35:38+00:00,"You are annotating YouTube video titles from political-media channels. For each numbered title, rate five style dimensions on a 1-5 scale (1 = not at all, 3 = moderately, 5 = extremely), then give three yes/no flags (0 or 1) and one structural format label. Judge the title text only.

Dimensions:
- sensational: hype and emotional intensity - shock words, ALL-CAPS emphasis, exclamation marks, exaggeration, alarm. (1: 'Senate passes budget resolution'; 5: 'THIS CHANGES EVERYTHING!!! Trump's INSANE Move')
- critical: attacks, blames, mocks or condemns a person, group or institution. (1: 'How the Fed sets interest rates'; 5: 'Corrupt Coward Ted Cruz Humiliates Himself Again')
- analytical: informational or analytical framing - reports, explains or weighs a development in neutral, descriptive terms. (1: 'OMG..'; 5: 'Why the Iran ceasefire is fragile: three scenarios for the next month')
- educational: teaches - explains how something works, gives history or background, a how-to or explainer. (1: 'Trump SLAMS reporter'; 5: 'How tariffs actually work, explained')
- conversational: casual and chatty - addresses the audience directly, first or second person, slang, stream-of-consciousness. (1: 'Oil prices rise 3% as OPEC cuts output'; 5: 'chat, we need to talk about this..')
Use the whole 1-5 range: most titles are not 1 on every dimension.

Flags (answer 0 or 1 only, never a scale):
- humor: the title is meant to be funny or ironic (joke, pun, sarcasm, absurdity).
- curiosity_gap: key information is withheld to make you click (unnamed 'this' / 'he' / 'they', 'here's why', 'what happened next', trailing '...', a teaser).
- outrage: the subject is framed as outrageous, scandalous or threatening (slams, destroys, exposed, disaster, betrayal, meltdown).

Format (exactly one word): question | breaking_live | episode_show | interview_guest | reaction | confrontation | listicle | howto_explainer | none
question = phrased as a question; breaking_live = BREAKING / LIVE / WATCH label; episode_show = show name with an episode number or date; interview_guest = a named guest joins / interview / 'with' / 'ft.'; reaction = reacts to / responds to / reaction; confrontation = X vs Y, destroys, owns, debate, clash; listicle = a numbered list ('5 reasons', 'top 10'); howto_explainer = how to / explained / what is / why; none = none of these.

Output exactly one line per title, in order, with no other text:
id,sensational,critical,analytical,educational,conversational,humor_yn,curiosity_yn,outrage_yn,format
Example line for a title like 'Trump DESTROYS CNN reporter in heated exchange': 7,4,5,1,1,1,0,0,1,confrontation
Do not explain, do not add headers or commentary: only the CSV lines.

Titles:
{titles}"
